交戦,こうせん,suru,こうせん
交換,こうかん,suru,こうかん
交易,こうえき,suru,こうえき
交歓,こうかん,suru,こうかん
交流,こうりゅう,suru,こうりゅう
交渉,こうしょう,suru,こうしょう
交遊,こうゆう,suru,こうゆう
交配,こうはい,suru,こうはい
交錯,こうさく,suru,こうさく
交際,こうさい,suru,こうさい
交響,こうきょう,suru,こうきょう
享受,きょうじゅ,suru,きょうじゅ
人見知り,ひとみしり,suru,ひとみしり
人違い,ひとちがい,suru,ひとちがい
人選,じんせん,suru,じんせん
仄めかす,ほのめかす,godan,ほのめか
介する,かいする,suru,かいする
介入,かいにゅう,suru,かいにゅう
介助,かいじょ,suru,かいじょ
介在,かいざい,suru,かいざい
介添え,かいぞえ,suru,かいぞえ
介護,かいご,suru,かいご
仕える,つかえる,ichidan,つか
仕上がる,しあがる,godan,しあが
仕上げる,しあげる,ichidan,しあ
仕事,しごと,suru,しごと
仕入れる,しいれる,ichidan,しい
仕分け,しわけ,suru,しわけ
仕切る,しきる,godan,しき
仕向ける,しむける,ichidan,しむ
仕掛ける,しかける,ichidan,しか
仕留める,しとめる,ichidan,しと
仕立てる,したてる,ichidan,した
仕組む,しくむ,godan,しく
仕舞う,しまう,godan,しま
仕込む,しこむ,godan,しこ
仕返し,しかえし,suru,しかえし
仕送り,しおくり,suru,しおくり
他界,たかい,suru,たかい
他薦,たせん,suru,たせん
付く,つく,godan,つ
付ける,つける,ichidan,つ
付する,ふする,suru,ふする
付与,ふよ,suru,ふよ
付加,ふか,suru,ふか
付属,ふぞく,suru,ふぞく
付帯,ふたい,suru,ふたい
付着,ふちゃく,suru,ふちゃく
付言,ふげん,suru,ふげん
付託,ふたく,suru,ふたく
付記,ふき,suru,ふき
付随,ふずい,suru,ふずい
代弁,だいべん,suru,だいべん
代書,だいしょ,suru,だいしょ
代替,だいたい,suru,だいたい
代理,だいり,suru,だいり
代用,だいよう,suru,だいよう
代筆,だいひつ,suru,だいひつ
代行,だいこう,suru,だいこう
代表,だいひょう,suru,だいひょう
代読,だいどく,suru,だいどく
代謝,たいしゃ,suru,たいしゃ
代議,だいぎ,suru,だいぎ
代走,だいそう,suru,だいそう
仮住まい,かりずまい,suru,かりずまい
仮定,かてい,suru,かてい
仮想,かそう,suru,かそう
仮眠,かみん,suru,かみん
仮称,かしょう,suru,かしょう
仮装,かそう,suru,かそう
仮設,かせつ,suru,かせつ
仰ぐ,あおぐ,godan,あお
仰る,おっしゃる,godan,おっしゃ
仰天,ぎょうてん,suru,ぎょうてん
仲介,ちゅうかい,suru,ちゅうかい
仲直り,なかなおり,suru,なかなおり
仲立ち,なかだち,suru,なかだち
仲裁,ちゅうさい,suru,ちゅうさい
仲間入り,なかまいり,suru,なかまいり
任す,まかす,godan,まか
任せる,まかせる,ichidan,まか
任免,にんめん,suru,にんめん
任命,にんめい,suru,にんめい
任官,にんかん,suru,にんかん
任意出頭,にんいしゅっとう,suru,にんいしゅっとう
任用,にんよう,suru,にんよう
企てる,くわだてる,ichidan,くわだ
企む,たくらむ,godan,たくら
企図,きと,suru,きと
企画,きかく,suru,きかく
伍する,ごする,special,ご
伏せ,ぶせ,suru,ぶせ
伏せる,ふせる,godan,ふせ
伐採,ばっさい,suru,ばっさい
休する,きゅうする,ichidan,きゅう
休まる,やすまる,godan,やすま
休む,やすむ,godan,やす
休める,やすめる,ichidan,やす
休会,きゅうかい,suru,きゅうかい
休刊,きゅうかん,suru,きゅうかん
休場,きゅうじょう,suru,きゅうじょう
休息,きゅうそく,suru,きゅうそく
休憩,きゅうけい,suru,きゅうけい
休戦,きゅうせん,suru,きゅうせん
休校,きゅうこう,suru,きゅうこう
休業,きゅうぎょう,suru,きゅうぎょう
休止,きゅうし,suru,きゅうし
休演,きゅうえん,suru,きゅうえん
休眠,きゅうみん,suru,きゅうみん
休耕,きゅうこう,suru,きゅうこう
休職,きゅうしょく,suru,きゅうしょく
休診,きゅうしん,suru,きゅうしん
休講,きゅうこう,suru,きゅうこう
休養,きゅうよう,suru,きゅうよう
休館,きゅうかん,suru,きゅうかん
会う,あう,godan,あ
会する,かいする,ichidan,かい
会合,かいごう,suru,かいごう
会得,えとく,suru,えとく
会葬,かいそう,suru,かいそう
会見,かいけん,suru,かいけん
会話,かいわ,suru,かいわ
会談,かいだん,suru,かいだん
会議,かいぎ,suru,かいぎ
会食,かいしょく,suru,かいしょく
伝う,つたう,godan,つた
伝える,つたえる,ichidan,つた
伝わる,つたわる,godan,つたわ
伝導,でんどう,suru,でんどう
伝承,でんしょう,suru,でんしょう
伝授,でんじゅ,suru,でんじゅ
伝播,でんぱ,suru,でんぱ
伝来,でんらい,suru,でんらい
伝染,でんせん,suru,でんせん
伝聞,でんぶん,suru,でんぶん
伝言,でんごん,suru,でんごん
伝送,でんそう,suru,でんそう
伝道,でんどう,suru,でんどう
伝達,でんたつ,suru,でんたつ
伯仲,はくちゅう,suru,はくちゅう
伴う,ともなう,godan,ともな
