嗚呼,ああ
移設,いせつ
以前,いぜん
依然,いぜん
依然として,いぜんとして
磯,いそ
急いで,いそいで
位相,いそう
移送,いそう
居候,いそうろう
忙しい,いそがしい
急ぎ,いそぎ
急ぎ足,いそぎあし
磯辺,いそべ
遺族,いぞく
依存,いぞん
異存,いぞん
依存症,いぞんしょう
板,いた
遺体,いたい
痛い,いたい
痛々しい,いたいたしい
板紙,いたがみ
委託,いたく
致し方,いたしかた
悪戯,いたずら
頂,いただき
至って,いた
痛手,いたで
板の間,いたのま
板張り,いたばり
板前,いたまえ
痛ましい,いたましい
痛み,いたみ
痛み分け,いたみわけ
至り,いたり
至る所,いたるところ
異端,いたん
医大,いだい
偉大,いだい
一,いち
市,いち
位置,いち
一案,いちあん
一尉,いちい
一位,いちい
一々,いちいち
一員,いちいん
一因,いちいん
一円,いちえん
一応,いちおう
一億,いちおく
一概に,いちがいに
一丸,いちがん
一義,いちぎ
一行,いちぎょう
一隅,いちぐう
一群,いちぐん
一軍,いちぐん
一芸,いちげい
一撃,いちげき
一元,いちげん
一元化,いちげんか
一語,いちご
一期,いちご
苺,いちご
一座,いちざ
一字,いちじ
一事,いちじ
一時,いちじ
一時間,いちじかん
一時期,いちじき
一時金,いちじきん
一次産業,いちじさんぎょう
一次産品,いちじさんぴん
一時的,いちじてき
一樹,いちじゅ
一巡,いちじゅん
一女,いちじょ
一助,いちじょ
一条,いちじょう
著しい,いちじるしい
一陣,いちじん
一人物,いちじんぶつ
一途,いちず
一族,いちぞく
一存,いちぞん
一打,いちだ
一大,いちだい
一代,いちだい
一台,いちだい
一代記,いちだいき
一大事,いちだいじ
一団,いちだん
一段,いちだん
一段落,いちだんらく
位置付け,いちづけ
一度,いちど
一同,いちどう
一堂,いちどう
一時に,いちどきに
一読,いちどく
一度に,いちどに
一男,いちなん
一二,いちに
一日,いちにち
一日中,いちにちじゅう
一任,いちにん
一人称,いちにんしょう
一人前,いちにんまえ
一念,いちねん
一年,いちねん
一年間,いちねんかん
一年中,いちねんじゅう
一念発起,いちねんほっき
いち早く,いちはやく
市場,いちば
一倍,いちばい
一番,いちばん
一番上,いちばんうえ
一番手,いちばんて
一番乗り,いちばんのり
一飛,いちひ
一部,いちぶ
一分,いちぶ
一部始終,いちぶしじゅう
一部分,いちぶぶん
一望,いちぼう
一木,いちぼく
一枚,いちまい
一枚岩,いちまいいわ
一枚看板,いちまいかんばん
一抹,いちまつ
一味,いちみ
一脈,いちみゃく
一命,いちめい
一面,いちめん
一目散に,いちもくさんに
一物,いちもつ
一門,いちもん
一文,いちもん
一問,いちもん
一文字,いちもんじ
一夜,いちや
一躍,いちやく
意中,いちゅう
胃腸,いちょう
医長,いちょう
一様,いちよう
一葉,いちよう
一翼,いちよく
一覧,いちらん
一卵性双生児,いちらんせいそうせいじ
一覧表,いちらんひょう
一理,いちり
一律,いちりつ
一里塚,いちりづか
一流,いちりゅう
一両,いちりょう
一輪,いちりん
一塁,いちるい
一塁手,いちるいしゅ
一例,いちれい
一礼,いちれい
一列,いちれつ
一連,いちれん
一路,いちろ
浪,ろう
割,わり
一過,いっか
一家,いっか
一回,いっかい
一介,いっかい
一階,いっかい
一回転,いっかいてん
一角,いっかく
一画,いっかく
一攫千金,いっかくせんきん
一ヶ月,いっかげつ
一家言,いっかげん
一喝,いっかつ
一括,いっかつ
一括払い,いっかつばらい
一巻,いっかん
一貫,いっかん
一環,いっかん
逸機,いっき
一気,いっき
一揆,いっき
一喜一憂,いっきいちゆう
一騎打ち,いっきうち
一気に,いっきに
一級,いっきゅう
一挙,いっきょ
一興,いっきょう
一曲,いっきょく
一局,いっきょく
一挙手一投足,いっきょしゅいっとうそく
一挙に,いっきょに
一句,いっく
一件,いっけん
一見,いっけん
一軒,いっけん
一軒家,いっけんや
一戸,いっこ
一顧,いっこ
一個,いっこ
一向,いっこう
一校,いっこう
一考,いっこう
一行,いっこう
一向に,いっこうに
一国,いっこく
一刻,いっこく
一個人,いっこじん
一戸建て,いっこだて
一切,いっさい
一策,いっさく
一昨,いっさく
一冊,いっさつ
一酸化炭素,いっさんかたんそ
一子,いっし
一矢,いっし
一式,いっしき
一室,いっしつ
一種,いっしゅ
一首,いっしゅ
一蹴,いっしゅう
一周,いっしゅう
一週,いっしゅう
一週間,いっしゅうかん
一周忌,いっしゅうき
一周年,いっしゅうねん
一瞬,いっしゅん
一緒,いっしょ
一所,いっしょ
一書,いっしょ
一笑,いっしょう
一生,いっしょう
一生懸命,いっしょうけんめい
一色,いっしょく
一触即発,いっしょくそくはつ
一緒に,いっしょに
一審,いっしん
一新,いっしん
一心,いっしん
一身,いっしん
一進一退,いっしんいったい
一身上,いっしんじょう
一心同体,いっしんどうたい
一心に,いっしんに
一心不乱,いっしんふらん
一睡,いっすい
一寸,いっすん
一声,いっせい
一世,いっせい
一斉,いっせい
一斉に,いっせいに
一席,いっせき
一石,いっせき
一石二鳥,いっせきにちょう
一節,いっせつ
一説,いっせつ
一線,いっせん
一戦,いっせん
一掃,いっそう
一層,いっそう
一足,いっそく
一足飛び,いっそくとび
いっその事,いっそのこと
一帯,いったい
一体,いったい
行ったり来たり,いったりきたり
一旦,いったん
一端,いったん
一致,いっち
一着,いっちゃく
一丁,いっちょう
一朝一夕,いっちょういっせき
一長一短,いっちょういったん
一直線,いっちょくせん
一対,いっつい
一通,いっつう
一手,いって
一定,いってい
一滴,いってき
一徹,いってつ
行ってらっしゃい,いってらっしゃい
一転,いってん
一点,いってん
一点張り,いってんばり
一等,いっとう
一刀,いっとう
一党,いっとう
一刀両断,いっとうりょうだん
一派,いっぱ
一杯,いっぱい
一敗,いっぱい
一泊,いっぱく
一発,いっぱつ
一般,いっぱん
一般人,いっぱんじん
一般的,いっぱんてき
一般に,いっぱんに
一匹,いっぴき
一筆,いっぴつ
一票,いっぴょう
一品,いっぴん
逸品,いっぴん
一風,いっぷう
一服,いっぷく
一遍,いっぺん
一変,いっぺん
一片,いっぺん
一辺倒,いっぺんとう
一遍に,いっぺんに
一歩,いっぽ
一報,いっぽう
一方,いっぽう
一方通行,いっぽうつうこう
一方的,いっぽうてき
一本,いっぽん
一本立ち,いっぽんだち
一本釣り,いっぽんづり
何時,いつ
胃痛,いつう
五重,いつえ
５日,いつか
いつ頃,いつごろ
逸材,いつざい
逸脱,いつだつ
五つ,いつつ
何時でも,いつでも
一に,いつに
何時に無く,いつになく
いつの間にか,いつのまにか
何時までも,いつまでも
何時も,いつも
いつも通り,いつもどおり
逸話,いつわ
偽り,いつわり
井筒,いづつ
移転,いてん
遺伝,いでん
遺伝学,いでんがく
遺伝子,いでんし
遺伝子工学,いでんしこうがく
遺伝病,いでんびょう
意図,いと
糸,いと
糸口,いとぐち
従姉妹,いとこ
従兄弟,いとこ
愛しい,いとしい
意図的,いとてき
営み,いとなみ
緯度,いど
井戸,いど
異動,いどう
移動,いどう
移動性高気圧,いどうせいこうきあつ
移動平均,いどうへいきん
居所,いどころ
井戸端会議,いどばたかいぎ
井戸掘り,いどほり
井戸水,いどみず
否,いな
以内,いない
田舎,いなか
田舎者,いなかもの
稲作,いなさく
稲妻,いなずま
稲田,いなだ
稲穂,いなほ
稲荷,いなり
古,いにしえ
移入,いにゅう
委任,いにん
委任状,いにんじょう
委任統治,いにんとうち
戌,いぬ
犬,いぬ
稲,いね
稲刈り,いねかり
居眠り,いねむり
居残り,いのこり
猪,いのしし
命,いのち
命からがら,いのちからがら
命がけ,いのちがけ
命綱,いのちづな
命取り,いのちとり
命拾い,いのちびろい
祈り,いのり
違反,いはん
居場所,いばしょ
意表,いひょう
遺品,いひん
鼾,いびき
歪,いびつ
畏怖,いふ
威風,いふう
衣服,いふく
息吹,いぶき
胃袋,いぶくろ
遺物,いぶつ
異物,いぶつ
異文,いぶん
異変,いへん
違法,いほう
異邦人,いほうじん
異母,いぼ
居間,いま
今,いま
今一,いまいち
今頃,いまごろ
今更,いまさら
戒め,いましめ
今すぐ,いま
今時,いまどき
今に,いまに
今にも,いまにも
今ひとつ,いまひとつ
今風,いまふう
今まで,いま
今や,いまや
今様,いまよう
忌まわしい,いまわしい
意味,いみ
意味合い,いみあい
意味不明,いみふめい
異名,いみょう
移民,いみん
医務,いむ
医務室,いむしつ
芋,いも
妹,いもうと
鋳物,いもの
慰問,いもん
嫌,いや
否,いや
否々,いやいや
否応,いやおう
嫌がらせ,いやがらせ
嫌気,いやき
医薬,いやく
違約,いやく
医薬品,いやくひん
卑しい,いやしい
嫌らしい,いやらしい
愈,いよいよ
異様,いよう
威容,いよう
意欲,いよく
以来,いらい
依頼,いらい
依頼者,いらいしゃ
苛々,いらいら
要らぬ,いらぬ
入り,い
入口,いりぐち
入り込み,いりごみ
入交,いりまじり
遺留,いりゅう
慰留,いりゅう
遺留品,いりゅうひん
医療,いりょう
衣料,いりょう
衣料品,いりょうひん
威力,いりょく
衣類,いるい
海豚,いるか
慰霊,いれい
異例,いれい
慰霊祭,いれいさい
入れ替え,いれか
入れ替わり,いれか
入れ代わり立ち代わり,いれかわりたちかわり
入れ墨,いれずみ
入れ歯,いれば
入れ物,いれもの
色,いろ
色合い,いろあ
色々,いろいろ
慰労,いろう
色鉛筆,いろえんぴつ
色柄,いろがら
色気,いろけ
色刷り,いろずり
色っぽい,いろっぽい
彩り,いろど
色直し,いろなおし
伊呂波,いろは
色分け,いろわけ
異論,いろん
色んな,いろんな
岩,いわ
祝い,いわ
祝い事,いわいごと
祝う,いわう
違和感,いわかん
曰く,いわく
鰯,いわし
岩戸,いわと
岩肌,いわはだ
岩場,いわば
言わば,いわば
岩間,いわま
岩屋,いわや
岩山,いわやま
所謂,いわゆる
因,いん
韻,いん
員,いん
陰影,いんえい
引火,いんか
印鑑,いんかん
因果,いんが
印画紙,いんがし
陰気,いんき
隠居,いんきょ
院議,いんぎ
隠語,いんご
印刷,いんさつ
印刷機,いんさつき
印紙,いんし
因子,いんし
陰湿,いんしつ
飲酒,いんしゅ
因習,いんしゅう
印章,いんしょう
印象,いんしょう
印象的,いんしょうてき
印象派,いんしょうは
飲食,いんしょく
飲食店,いんしょくてん
印字,いんじ
員数,いんずう
院政,いんせい
陰性,いんせい
院生,いんせい
引責,いんせき
隕石,いんせき
印税,いんぜい
引率,いんそつ
引退,いんたい
院長,いんちょう
隠匿,いんとく
引導,いんどう
院内,いんない
因縁,いんねん
陰謀,いんぼう
隠滅,いんめつ
陰陽,いんよう
引用,いんよう
飲用,いんよう
韻律,いんりつ
飲料,いんりょう
飲料水,いんりょうすい
引力,いんりょく
陰イオン,いんイオン
胃カメラ,いカメラ
卯,う
鵜,う
有為,うい
初々しい,ういういしい
初子,ういご
初産,ういざん
初陣,ういじん
初孫,ういまご
上,うえ
飢え,うえ
植木,うえき
植木鉢,うえきばち
植え込み,うえこみ
上下,うえした
飢え死に,うえじに
植え付け,うえつけ
魚市場,うおいちば
右往左往,うおうさおう
魚河岸,うおがし
羽化,うか
伺い,うかがい
伺う,うかがう
浮かばれない,うかばれない
嗽,うがい
右岸,うがん
雨季,うき
浮き,うき
浮き浮き,うきうき
浮き沈み,うきしずみ
浮き立つ,うきたつ
浮き彫り,うきぼり
憂き目,うきめ
浮世,うきよ
浮世絵,うきよえ
受け,う
請け合う,うけあう
右傾,うけい
受け入れ,うけい
請負,うけおい
請負業,うけおいぎょう
