嗚呼,ああ
暖冬,だんとう
弾道,だんどう
段取り,だんどり
旦那,だんな
断熱,だんねつ
断念,だんねん
断髪,だんぱつ
断片,だんぺん
断片的,だんぺんてき
暖房,だんぼう
断末魔,だんまつま
断面,だんめん
弾薬,だんやく
男優,だんゆう
段落,だんらく
暖流,だんりゅう
弾力,だんりょく
暖炉,だんろ
談論,だんろん
談話,だんわ
談話室,だんわしつ
断トツ,だんトツ
血,ち
地,ち
治安,ちあん
地位,ちい
地域,ちいき
地域社会,ちいきしゃかい
知育,ちいく
小さい,ちいさい
小さい頃,ちいさいころ
小さな,ちいさな
知恵,ちえ
知恵遅れ,ちえおくれ
知恵袋,ちえぶくろ
遅延,ちえん
地縁,ちえん
地価,ちか
地下,ちか
近い,ちかい
誓い,ちかい
誓う,ちかう
知覚,ちかく
近く,ちかく
地殻,ちかく
地殻変動,ちかくへんどう
近頃,ちかごろ
地下資源,ちかしげん
地下室,ちかしつ
地下水,ちかすい
近々,ちかぢか
誓って,ちか
近づき,ちかづき
地下鉄,ちかてつ
地下道,ちかどう
近道,ちかみち
力,ちから
力いっぱい,ちからいっぱい
力仕事,ちからしごと
力添え,ちからぞえ
力試し,ちからだめし
力強い,ちからづよい
力負け,ちからまけ
力水,ちからみず
力持ち,ちからもち
痴漢,ちかん
違い,ちがい
違いない,ちがいない
治外法権,ちがいほうけん
違う,ちがう
地学,ちがく
知己,ちき
地球,ちきゅう
地球温暖化,ちきゅうおんだんか
地球儀,ちきゅうぎ
地球上,ちきゅうじょう
稚魚,ちぎょ
地区,ちく
逐一,ちくいち
蓄音機,ちくおんき
畜産,ちくさん
蓄財,ちくざい
畜生,ちくしょう
逐次,ちくじ
築城,ちくじょう
蓄積,ちくせき
築造,ちくぞう
蓄電池,ちくでんち
乳首,ちくび
竹林,ちくりん
千草,ちぐさ
地形,ちけい
治験,ちけん
知見,ちけん
地検,ちけん
遅刻,ちこく
地裁,ちさい
治山,ちさん
地誌,ちし
致死,ちし
知識,ちしき
知識人,ちしきじん
地質,ちしつ
地質学,ちしつがく
千島,ちしま
千島列島,ちしまれっとう
致死量,ちしりょう
知事,ちじ
地磁気,ちじき
地上,ちじょう
恥辱,ちじょく
知人,ちじん
治水,ちすい
血筋,ちすじ
地図,ちず
知性,ちせい
地勢,ちせい
稚拙,ちせつ
地層,ちそう
遅滞,ちたい
地帯,ちたい
地代,ちだい
遅々,ちち
乳,ちち
父,ちち
父親,ちちおや
父方,ちちかた
父の日,ちちのひ
地中,ちちゅう
地中海,ちちゅうかい
縮み,ちぢみ
窒素,ちっそ
窒息,ちっそく
些とも,ちっとも
秩序,ちつじょ
地底,ちてい
知的,ちてき
地点,ちてん
千鳥,ちどり
因みに,ちなみに
知日,ちにち
地熱,ちねつ
知能,ちのう
知能指数,ちのうしすう
知能犯,ちのうはん
血の海,ちのうみ
血の気,ちのけ
地の利,ちのり
遅配,ちはい
千葉,ちば
地表,ちひょう
禿び,ちび
乳房,ちぶさ
地平,ちへい
地平線,ちへいせん
地方,ちほう
痴呆,ちほう
地方議会,ちほうぎかい
地方行政,ちほうぎょうせい
地方公共団体,ちほうこうきょうだんたい
地方公務員,ちほうこうむいん
地方裁判所,ちほうさいばんしょ
痴呆症,ちほうしょう
地方自治,ちほうじち
地方自治体,ちほうじちたい
地方税,ちほうぜい
地方団体,ちほうだんたい
地方版,ちほうばん
地方分権,ちほうぶんけん
巷,ちまた
血眼,ちまなこ
緻密,ちみつ
致命,ちめい
知名,ちめい
地名,ちめい
致命傷,ちめいしょう
致命的,ちめいてき
茶,ちゃ
茶色,ちゃいろ
茶会,ちゃかい
茶褐色,ちゃかっしょく
着,ちゃく
着衣,ちゃくい
着岸,ちゃくがん
着座,ちゃくざ
嫡子,ちゃくし
着手,ちゃくしゅ
嫡出,ちゃくしゅつ
着床,ちゃくしょう
着色,ちゃくしょく
着信,ちゃくしん
着実,ちゃくじつ
着水,ちゃくすい
着席,ちゃくせき
着想,ちゃくそう
着脱,ちゃくだつ
着弾,ちゃくだん
着地,ちゃくち
着々,ちゃくちゃく
着任,ちゃくにん
着服,ちゃくふく
着目,ちゃくもく
着用,ちゃくよう
着陸,ちゃくりく
茶室,ちゃしつ
着火,ちゃっか
着工,ちゃっこう
茶漬け,ちゃづけ
茶の間,ちゃのま
茶の湯,ちゃのゆ
茶番,ちゃばん
茶屋,ちゃや
茶碗,ちゃわん
注,ちゅう
宙,ちゅう
中,ちゅう
注意,ちゅうい
中位,ちゅうい
中尉,ちゅうい
注意深い,ちゅういぶかい
注意報,ちゅういほう
中越,ちゅうえつ
中欧,ちゅうおう
中央,ちゅうおう
中央集権,ちゅうおうしゅうけん
中華,ちゅうか
仲介,ちゅうかい
中華街,ちゅうかがい
中核,ちゅうかく
中華人民共和国,ちゅうかじんみんきょうわこく
中華鍋,ちゅうかなべ
中華民国,ちゅうかみんこく
中華料理,ちゅうかりょうり
中間,ちゅうかん
中間色,ちゅうかんしょく
中間配当額,ちゅうかんはいとうがく
宙返り,ちゅうがえり
中学,ちゅうがく
中学生,ちゅうがくせい
中型,ちゅうがた
中学校,ちゅうがっこう
中期,ちゅうき
中規模,ちゅうきぼ
中級,ちゅうきゅう
中共,ちゅうきょう
中京,ちゅうきょう
中距離,ちゅうきょり
中距離核戦力,ちゅうきょりかくせんりょく
忠義,ちゅうぎ
中空,ちゅうくう
中継,ちゅうけい
中継局,ちゅうけいきょく
中堅,ちゅうけん
忠犬,ちゅうけん
中原,ちゅうげん
中元,ちゅうげん
中古,ちゅうこ
中興,ちゅうこう
中高,ちゅうこう
忠孝,ちゅうこう
忠告,ちゅうこく
中古車,ちゅうこしゃ
中古品,ちゅうこひん
忠魂,ちゅうこん
中国,ちゅうごく
中国語,ちゅうごくご
中国人,ちゅうごくじん
中佐,ちゅうさ
仲裁,ちゅうさい
中産階級,ちゅうさんかいきゅう
中座,ちゅうざ
駐在,ちゅうざい
駐在所,ちゅうざいしょ
中止,ちゅうし
注視,ちゅうし
中執,ちゅうしつ
注射,ちゅうしゃ
駐車,ちゅうしゃ
注釈,ちゅうしゃく
駐車場,ちゅうしゃじょう
中秋,ちゅうしゅう
抽出,ちゅうしゅつ
中小,ちゅうしょう
抽象,ちゅうしょう
中傷,ちゅうしょう
抽象化,ちゅうしょうか
中小企業,ちゅうしょうきぎょう
抽象的,ちゅうしょうてき
抽象論,ちゅうしょうろん
昼食,ちゅうしょく
忠臣,ちゅうしん
中心,ちゅうしん
中震,ちゅうしん
衷心,ちゅうしん
中心部,ちゅうしんぶ
中耳,ちゅうじ
中耳炎,ちゅうじえん
中軸,ちゅうじく
忠実,ちゅうじつ
中旬,ちゅうじゅん
中将,ちゅうじょう
虫垂炎,ちゅうすいえん
中枢,ちゅうすう
中枢神経,ちゅうすうしんけい
中世,ちゅうせい
忠誠,ちゅうせい
中性,ちゅうせい
中性子,ちゅうせいし
中生代,ちゅうせいだい
抽選,ちゅうせん
中絶,ちゅうぜつ
中前,ちゅうぜん
中卒,ちゅうそつ
鋳造,ちゅうぞう
中退,ちゅうたい
中隊,ちゅうたい
中段,ちゅうだん
中断,ちゅうだん
躊躇,ちゅうちょ
宙吊り,ちゅうづり
中途,ちゅうと
中東,ちゅうとう
中等,ちゅうとう
中途半端,ちゅうとはんぱ
駐屯,ちゅうとん
中道,ちゅうどう
中毒,ちゅうどく
中南米,ちゅうなんべい
中二階,ちゅうにかい
中肉,ちゅうにく
駐日,ちゅうにち
中日,ちゅうにち
注入,ちゅうにゅう
中年,ちゅうねん
宙乗り,ちゅうのり
中波,ちゅうは
中盤,ちゅうばん
中飛,ちゅうひ
中火,ちゅうび
中腹,ちゅうふく
中部,ちゅうぶ
厨房,ちゅうぼう
注目,ちゅうもく
注文,ちゅうもん
昼夜,ちゅうや
中葉,ちゅうよう
中立,ちゅうりつ
中略,ちゅうりゃく
駐留,ちゅうりゅう
中流,ちゅうりゅう
中和,ちゅうわ
酎ハイ,ちゅうハイ
治癒,ちゆ
著,ちょ
丁,ちょう
腸,ちょう
蝶,ちょう
超,ちょう
兆,ちょう
庁,ちょう
長,ちょう
弔意,ちょうい
調印,ちょういん
懲役,ちょうえき
超越,ちょうえつ
腸炎,ちょうえん
超音速,ちょうおんそく
超音波,ちょうおんぱ
超過,ちょうか
懲戒,ちょうかい
町会,ちょうかい
聴覚,ちょうかく
朝刊,ちょうかん
長官,ちょうかん
長期,ちょうき
長期的,ちょうきてき
長久,ちょうきゅう
調教,ちょうきょう
長距離,ちょうきょり
彫金,ちょうきん
町議会,ちょうぎかい
長兄,ちょうけい
長径,ちょうけい
帳消し,ちょうけし
朝見,ちょうけん
長江,ちょうこう
兆候,ちょうこう
朝貢,ちょうこう
聴講,ちょうこう
彫刻,ちょうこく
調合,ちょうごう
調査,ちょうさ
調剤,ちょうざい
銚子,ちょうし
長子,ちょうし
調子,ちょうし
超自然,ちょうしぜん
庁舎,ちょうしゃ
聴取,ちょうしゅ
聴衆,ちょうしゅう
徴集,ちょうしゅう
徴収,ちょうしゅう
長所,ちょうしょ
調書,ちょうしょ
朝食,ちょうしょく
長身,ちょうしん
聴診器,ちょうしんき
弔辞,ちょうじ
長時間,ちょうじかん
長者,ちょうじゃ
長寿,ちょうじゅ
鳥獣,ちょうじゅう
長女,ちょうじょ
頂上,ちょうじょう
超人,ちょうじん
鳥人,ちょうじん
超人的,ちょうじんてき
町制,ちょうせい
調製,ちょうせい
長征,ちょうせい
長生,ちょうせい
調整,ちょうせい
調節,ちょうせつ
挑戦,ちょうせん
朝鮮,ちょうせん
朝鮮半島,ちょうせんはんとう
朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく
徴税,ちょうぜい
超絶,ちょうぜつ
彫塑,ちょうそ
町村,ちょうそん
彫像,ちょうぞう
調達,ちょうたつ
長短,ちょうたん
長打,ちょうだ
頂戴,ちょうだい
長大,ちょうだい
長蛇の列,ちょうだのれつ
蝶々,ちょうちょう
長調,ちょうちょう
町長,ちょうちょう
提灯,ちょうちん
朝廷,ちょうてい
調停,ちょうてい
頂点,ちょうてん
弔電,ちょうでん
超伝導,ちょうでんどう
超党派,ちょうとうは
超特急,ちょうとっきゅう
調度,ちょうど
丁度,ちょうど
町内,ちょうない
長男,ちょうなん
町人,ちょうにん
超能力,ちょうのうりょく
長髪,ちょうはつ
挑発,ちょうはつ
挑発的,ちょうはつてき
跳馬,ちょうば
懲罰,ちょうばつ
懲罰委員会,ちょうばついいんかい
貼付,ちょうふ
重複,ちょうふく
長文,ちょうぶん
徴兵,ちょうへい
長編,ちょうへん
諜報,ちょうほう
重宝,ちょうほう
長方形,ちょうほうけい
張本人,ちょうほんにん
帳簿,ちょうぼ
眺望,ちょうぼう
調味,ちょうみ
調味料,ちょうみりょう
町民,ちょうみん
丁目,ちょうめ
町名,ちょうめい
長命,ちょうめい
弔問,ちょうもん
聴聞,ちょうもん
聴聞会,ちょうもんかい
跳躍,ちょうやく
長幼,ちょうよう
徴用,ちょうよう
調理,ちょうり
調理師,ちょうりし
調律,ちょうりつ
調律師,ちょうりつし
潮流,ちょうりゅう
聴力,ちょうりょく
鳥類,ちょうるい
朝礼,ちょうれい
朝令暮改,ちょうれいぼかい
長老,ちょうろう
調和,ちょうわ
貯金,ちょきん
貯金局,ちょきんきょく
直,ちょく
直営,ちょくえい
直撃,ちょくげき
直言,ちょくげん
直後,ちょくご
直視,ちょくし
直射,ちょくしゃ
直進,ちょくしん
直接,ちょくせつ
直接行動,ちょくせつこうどう
直接選挙,ちょくせつせんきょ
直接税,ちょくせつぜい
直接的,ちょくせつてき
直線,ちょくせん
直前,ちょくぜん
直送,ちょくそう
直属,ちょくぞく
直腸,ちょくちょう
直通,ちょくつう
直売,ちょくばい
直方体,ちょくほうたい
直面,ちょくめん
直訳,ちょくやく
直輸入,ちょくゆにゅう
直立,ちょくりつ
直流,ちょくりゅう
直列,ちょくれつ
猪口,ちょこ
著作,ちょさく
著作権,ちょさくけん
著者,ちょしゃ
著書,ちょしょ
著述,ちょじゅつ
貯水,ちょすい
貯水池,ちょすいち
貯蔵,ちょぞう
貯蔵庫,ちょぞうこ
貯蓄,ちょちく
直下,ちょっか
直角,ちょっかく
直轄,ちょっかつ
直感,ちょっかん
直感的,ちょっかんてき
直球,ちょっきゅう
直径,ちょっけい
直系,ちょっけい
直結,ちょっけつ
直行,ちょっこう
直航,ちょっこう
一寸,ちょっと
著名,ちょめい
千代,ちよ
散らし,ちらし
塵,ちり
地理,ちり
ちり紙,ちりがみ
ちり取り,ちりとり
治療,ちりょう
治療法,ちりょうほう
知力,ちりょく
珍,ちん
賃上げ,ちんあげ
鎮圧,ちんあつ
沈下,ちんか
鎮火,ちんか
賃金,ちんぎん
賃金格差,ちんぎんかくさ
沈降,ちんこう
鎮魂,ちんこん
賃下げ,ちんさげ
鎮座,ちんざ
陳謝,ちんしゃ
賃借,ちんしゃく
珍事,ちんじ
鎮守,ちんじゅ
陳述,ちんじゅつ
陳情,ちんじょう
沈静,ちんせい
鎮静,ちんせい
沈滞,ちんたい
賃貸,ちんたい
賃貸借,ちんたいしゃく
沈着,ちんちゃく
珍重,ちんちょう
沈痛,ちんつう
鎮痛剤,ちんつうざい
鎮定,ちんてい
珍品,ちんぴん
陳腐,ちんぷ
珍紛漢紛,ちんぷんかんぷん
沈没,ちんぼつ
珍味,ちんみ
珍妙,ちんみょう
沈黙,ちんもく
陳列,ちんれつ
っ放し,っぱなし
対,つい
追憶,ついおく
追加,ついか
椎間板,ついかんばん
追及,ついきゅう
追求,ついきゅう
追究,ついきゅう
追撃,ついげき
追試,ついし
追従,ついしょう
追伸,ついしん
築地,ついじ
追随,ついずい
追跡,ついせき
追善,ついぜん
追想,ついそう
１日,ついたち
追徴,ついちょう
就いて,ついて
序で,ついで
次いで,ついで
序でに,ついでに
追悼,ついとう
追突,ついとつ
遂に,ついに
追認,ついにん
追肥,ついひ
追尾,ついび
追放,ついほう
墜落,ついらく
通,つう
通院,つういん
通過,つうか
通貨,つうか
痛快,つうかい
通関,つうかん
通巻,つうかん
痛感,つうかん
通学,つうがく
通気,つうき
通勤,つうきん
通航,つうこう
通行,つうこう
通行止め,つうこうどめ
通告,つうこく
痛恨,つうこん
通算,つうさん
通産省,つうさんしょう
通産相,つうさんしょう
通史,つうし
通称,つうしょう
通商,つうしょう
通商産業省,つうしょうさんぎょうしょう
通信,つうしん
通信員,つうしんいん
通信衛星,つうしんえいせい
通信教育,つうしんきょういく
通信社,つうしんしゃ
通信販売,つうしんはんばい
通信簿,つうしんぼ
通信網,つうしんもう
通じ,つうじ
通じ合う,つうじあう
通常,つうじょう
通性,つうせい
痛惜,つうせき
痛切,つうせつ
通説,つうせつ
通俗,つうぞく
通俗的,つうぞくてき
通達,つうたつ
痛打,つうだ
通知,つうち
通知表,つうちひょう
通帳,つうちょう
通念,つうねん
通年,つうねん
通販,つうはん
通風,つうふう
痛風,つうふう
通報,つうほう
通訳,つうやく
通用,つうよう
通用門,つうようもん
通例,つうれい
痛烈,つうれつ
通路,つうろ
通話,つうわ
杖,つえ
塚,つか
使い,つかい
使い方,つかいかた
使い捨て,つかいすて
使い手,つかいて
使い走り,つかいばしり
使い道,つかいみち
使い物,つかいもの
使い分け,つかいわけ
使う,つかう
つかの間,つかのま
疲れ,つかれ
疲れ果て,つかれはて
付き,つき
月,つき
突き,つき
付き合い,つきあい
付き合う,つきあう
突き当たり,つきあたり
突き落とし,つきおとし
月形,つきがた
付き添い,つきそい
付き添い看護婦,つきそいかんごふ
付き添う,つきそう
突き出し,つきだし
月々,つきづき
月並み,つきなみ
月初め,つきはじめ
月払い,つきばらい
月日,つきひ
付き人,つきびと
月見,つきみ
築山,つきやま
月夜,つきよ
次,つぎ
継ぎ,つぎ
接ぎ木,つぎき
次々,つぎつぎ
次々に,つぎつぎに
次のように,つぎのように
継ぎ接ぎ,つぎはぎ
継ぎ目,つぎめ
机,つくえ
佃,つくだ
佃煮,つくだに
熟,つくづく
作り,つくり
旁,つくり
造り酒屋,つくりざかや
作り話,つくりばなし
作り物,つくりもの
作り笑い,つくりわらい
繕う,つくろう
償い,つぐない
償う,つぐなう
付け,つけ
付け加え,つけくわえ
付け出し,つけだし
付け届け,つけとどけ
付け根,つけね
付け人,つけびと
漬物,つけもの
都合,つごう
辻,つじ
辻説法,つじせっぽう
辻褄,つじつま
辻堂,つじどう
蔦,つた
伝う,つたう
土,つち
槌,つち
培う,つちかう
土煙,つちけむり
突っ込み,つっこみ
突っ立つ,つったつ
突っ張り,つっぱり
筒,つつ
筒井,つつい
津々浦々,つつうらうら
慎み,つつしみ
筒抜け,つつぬけ
包み,つつみ
堤,つつみ
包み紙,つつみがみ
続き,つづき
鼓,つづみ
綴り,つづり
伝,つて
勤め,つとめ
勤め先,つとめさき
努めて,つとめて
勤め人,つとめにん
都度,つど
集い,つどい
集う,つどう
綱,つな
繋がり,つながり
綱引き,つなひき
津波,つなみ
綱渡り,つなわたり
常,つね
常々,つねづね
常に,つねに
角,つの
唾,つば
椿,つばき
翼,つばさ
燕,つばめ
粒,つぶ
礫,つぶて
壺,つぼ
坪,つぼ
蕾,つぼみ
妻,つま
つま先,つまさき
摘み,つまみ
撮み洗い,つまみあらい
爪楊枝,つまようじ
詰らない,つまらない
詰まり,つまり
詰み,つみ
罪,つみ
積み上げ,つみあげ
積み重ね,つみかさね
積み木,つみき
積み込み,つみこみ
積立,つみたて
積立金,つみたてきん
積み出し,つみだし
積み荷,つみに
積み残し,つみのこし
罪滅ぼし,つみほろぼし
紬,つむぎ
紡ぎ歌,つむぎうた
爪,つめ
詰め合わせ,つめあわせ
爪切り,つめきり
詰め所,つめしょ
詰将棋,つめしょうぎ
冷たい,つめたい
積もり,つもり
艶,つや
通夜,つや
艶々,つやつや
梅雨,つゆ
露,つゆ
梅雨明け,つゆあけ
梅雨入り,つゆいり
露払い,つゆはらい
強い,つよい
強がり,つよがり
強気,つよき
強さ,つよさ
強火,つよび
強含み,つよふくみ
強み,つよみ
面,つら
辛い,つらい
氷柱,つらら
釣り,つり
釣り合い,つりあい
釣り合う,つりあう
釣り糸,つりいと
釣鐘,つりがね
釣具,つりぐ
釣り銭,つりせん
釣り場,つりば
釣り針,つりばり
釣り船,つりぶね
釣り堀,つりぼり
弦,つる
鶴,つる
連れ,つれ
連れ込み宿,つれこみやど
連れ添う,つれそう
連れ立つ,つれだつ
連れて行く,つれていく
積ん読,つんどく
連れ,づれ
手,て
手足,てあし
手当たり次第,てあたりしだい
手厚い,てあつい
手当,てあて
手洗い,てあらい
低圧,ていあつ
提案,ていあん
低位,ていい
定員,ていいん
庭園,ていえん
帝王,ていおう
帝王切開,ていおうせっかい
低温,ていおん
低音,ていおん
定価,ていか
低下,ていか
低価格,ていかかく
定款,ていかん
停学,ていがく
低額,ていがく
定額,ていがく
低学年,ていがくねん
提起,ていき
定期,ていき
低気圧,ていきあつ
定期券,ていきけん
定期購読,ていきこうどく
定期船,ていきせん
定期的,ていきてき
定期便,ていきびん
庭球,ていきゅう
定休,ていきゅう
定休日,ていきゅうび
帝京,ていきょう
提供,ていきょう
提供者,ていきょうしゃ
定期預金,ていきよきん
定義,ていぎ
低空,ていくう
低空飛行,ていくうひこう
提携,ていけい
定形,ていけい
締結,ていけつ
低血圧,ていけつあつ
提言,ていげん
低減,ていげん
抵抗,ていこう
定刻,ていこく
帝国,ていこく
帝国主義,ていこくしゅぎ
体裁,ていさい
偵察,ていさつ
停止,ていし
定式,ていしき
低姿勢,ていしせい
停車,ていしゃ
亭主,ていしゅ
低周波,ていしゅうは
提出,ていしゅつ
提唱,ていしょう
定食,ていしょく
定職,ていしょく
抵触,ていしょく
停職,ていしょく
逓信,ていしん
挺身,ていしん
挺身隊,ていしんたい
定時,ていじ
提示,ていじ
定時制,ていじせい
定住,ていじゅう
低水準,ていすいじゅん
定数,ていすう
訂正,ていせい
帝政,ていせい
定説,ていせつ
停戦,ていせん
停船,ていせん
提訴,ていそ
低速,ていそく
定足数,ていそくすう
低俗,ていぞく
手痛い,ていたい
停滞,ていたい
邸宅,ていたく
低地,ていち
定置網,ていちあみ
定着,ていちゃく
丁重,ていちょう
低調,ていちょう
定点,ていてん
停電,ていでん
帝都,ていと
抵当,ていとう
抵当権,ていとうけん
提督,ていとく
程度,ていど
邸内,ていない
丁寧,ていねい
定年,ていねん
停泊,ていはく
定番,ていばん
定評,ていひょう
底辺,ていへん
定本,ていほん
堤防,ていぼう
低木,ていぼく
弟妹,ていまい
低迷,ていめい
締約,ていやく
低落,ていらく
低利,ていり
低率,ていりつ
定率,ていりつ
底流,ていりゅう
停留所,ていりゅうじょ
定量,ていりょう
低料金,ていりょうきん
手入れ,ていれ
定例,ていれい
低廉,ていれん
手薄,てうす
手打ち,てうち
手遅れ,ておくれ
手押し,ておし
手落ち,ておち
手織り,ており
手加減,てかげん
手がかり,てがかり
手書き,てがき
手形,てがた
手堅い,てがたい
手形割引,てがたわりびき
手紙,てがみ
手柄,てがら
手軽,てがる
的,てき
敵,てき
敵意,てきい
適応,てきおう
適温,てきおん
適格,てきかく
的確,てきかく
適宜,てきぎ
敵国,てきこく
適合,てきごう
適材適所,てきざいてきしょ
敵視,てきし
敵失,てきしつ
摘出,てきしゅつ
適時,てきじ
敵陣,てきじん
適正,てきせい
敵性,てきせい
適性,てきせい
適正価格,てきせいかかく
適性検査,てきせいけんさ
適切,てきせつ
敵前,てきぜん
敵対,てきたい
敵地,てきち
適地,てきち
的中,てきちゅう
適当,てきとう
適度,てきど
適任,てきにん
摘発,てきはつ
適否,てきひ
手厳しい,てきびしい
適法,てきほう
適役,てきやく
適用,てきよう
適量,てきりょう
適齢,てきれい
適齢期,てきれいき
手際,てぎわ
手際よく,てぎわよく
手首,てくび
手口,てぐち
手応え,てごたえ
手ごろ,てごろ
手ごわい,てごわい
手先,てさき
手探り,てさぐり
手提げ,てさげ
手触り,てざわり
手塩,てしお
手仕事,てしごと
手品,てじな
手順,てじゅん
手錠,てじょう
手数,てすう
手数料,てすうりょう
手すり,てすり
手製,てせい
手狭,てぜま
手相,てそう
手代,てだい
手助け,てだすけ
手立て,てだて
手玉,てだま
手違い,てちがい
手帳,てちょう
手近,てぢか
鉄火,てっか
撤回,てっかい
敵機,てっき
撤去,てっきょ
鉄橋,てっきょう
鉄筋,てっきん
鉄鉱,てっこう
鉄工,てっこう
鉄鋼,てっこう
鉄骨,てっこつ
撤収,てっしゅう
鉄製,てっせい
鉄線,てっせん
鉄則,てっそく
撤退,てったい
鉄柱,てっちゅう
徹底,てってい
徹底的,てっていてき
鉄塔,てっとう
手っ取り早い,てっとりばやい
撤廃,てっぱい
鉄板,てっぱん
撤兵,てっぺい
鉄壁,てっぺき
天辺,てっぺん
鉄砲,てっぽう
鉄砲水,てっぽうみず
鉄,てつ
哲学,てつがく
哲学的,てつがくてき
鉄条網,てつじょうもう
鉄人,てつじん
哲人,てつじん
手伝い,てつだい
手伝う,てつだう
手続き,てつづき
鉄道,てつどう
鉄道網,てつどうもう
鉄分,てつぶん
鉄棒,てつぼう
徹夜,てつや
鉄腕,てつわん
手作り,てづくり
手詰まり,てづまり
手取り,てとり
手直し,てなおし
手投げ弾,てなげだん
手習い,てならい
手荷物,てにもつ
手抜き,てぬき
手ぬぐい,てぬぐい
手の内,てのうち
手の甲,てのこう
手のひら,てのひら
手配,てはい
手始め,てはじめ
手放し,てばなし
手早い,てばやい
手控え,てびかえ
手引き,てびき
手引書,てびきしょ
手拍子,てびょうし
手広い,てびろい
手広く,てびろく
手袋,てぶくろ
手振り,てぶり
手弁当,てべんとう
手本,てほん
手間,てま
手前,てまえ
手招き,てまねき
手土産,てみやげ
手持ち,てもち
手元,てもと
寺,てら
寺子屋,てらこや
照り,てり
照り返し,てりかえし
照り焼き,てりやき
手料理,てりょうり
照れ屋,てれや
手練手管,てれんてくだ
手分け,てわけ
手渡し,てわたし
店,てん
天,てん
点,てん
転移,てんい
店員,てんいん
天下,てんか
添加,てんか
転嫁,てんか
点火,てんか
転化,てんか
展開,てんかい
転回,てんかい
天下一品,てんかいっぴん
添加物,てんかぶつ
展観,てんかん
転換,てんかん
天気,てんき
転機,てんき
天気図,てんきず
転居,てんきょ
天気予報,てんきよほう
転勤,てんきん
天空,てんくう
天狗,てんぐ
点景,てんけい
典型,てんけい
典型的,てんけいてき
点検,てんけん
点呼,てんこ
天候,てんこう
転向,てんこう
転校,てんこう
篆刻,てんこく
天国,てんごく
点差,てんさ
転載,てんさい
天災,てんさい
天才,てんさい
添削,てんさく
点在,てんざい
天使,てんし
転写,てんしゃ
店主,てんしゅ
天守閣,てんしゅかく
転出,てんしゅつ
転職,てんしょく
天職,てんしょく
転進,てんしん
転身,てんしん
展示,てんじ
点字,てんじ
展示会,てんじかい
天寿,てんじゅ
添乗,てんじょう
天井,てんじょう
天神,てんじん
点数,てんすう
天性,てんせい
転生,てんせい
転戦,てんせん
転送,てんそう
天体,てんたい
転貸,てんたい
天台,てんだい
天台宗,てんだいしゅう
天地,てんち
店長,てんちょう
天敵,てんてき
点滴,てんてき
転々,てんてん
店頭,てんとう
転倒,てんとう
点灯,てんとう
点取り,てんとり
天童,てんどう
天動説,てんどうせつ
天丼,てんどん
店内,てんない
転入,てんにゅう
天女,てんにょ
転任,てんにん
天然,てんねん
天然温泉,てんねんおんせん
天然記念物,てんねんきねんぶつ
天然痘,てんねんとう
天皇,てんのう
天王山,てんのうざん
天王星,てんのうせい
天皇制,てんのうせい
天皇誕生日,てんのうたんじょうび
天皇陛下,てんのうへいか
転売,てんばい
天引き,てんびき
天日,てんぴ
添付,てんぷ
転覆,てんぷく
天ぷら,てんぷら
天変地異,てんぺんちい
展望,てんぼう
店舗,てんぽ
天幕,てんまく
天窓,てんまど
天満宮,てんまんぐう
天命,てんめい
天明,てんめい
店名,てんめい
点滅,てんめつ
天文,てんもん
天文学,てんもんがく
天文台,てんもんだい
点訳,てんやく
転用,てんよう
転落,てんらく
展覧,てんらん
天覧,てんらん
展覧会,てんらんかい
天理,てんり
天理教,てんりきょう
典礼,てんれい
出,で
出会い,であい
出会い頭,であいがしら
出会う,であう
出足,であし
泥酔,でいすい
泥炭,でいたん
出入り,でいり
出入り口,でいりぐち
出稼ぎ,でかせぎ
出方,でかた
出掛け,でがけ
出来,でき
出来合い,できあい
出来上がり,できあがり
出来事,できごと
出来高,できだか
出来栄え,できばえ
出来るだけ,できるだけ
できるだけ早く,できるだけはやく
出口,でぐち
凸凹,でこぼこ
出先,でさき
出先機関,でさききかん
弟子,でし
弟子入り,でしいり
出そろう,でそろう
出鱈目,でたらめ
出直し,でなおし
では無い,ではない
では無いか,ではないか
出刃,でば
出番,でばん
出前,でまえ
出窓,でまど
出回り,でまわり
出店,でみせ
出迎え,でむかえ
でも無い,でもない
電圧,でんあつ
電位,でんい
田園,でんえん
田園都市,でんえんとし
電荷,でんか
殿下,でんか
伝家,でんか
電化,でんか
電解質,でんかいしつ
田楽,でんがく
電機,でんき
電器,でんき
電気,でんき
伝奇,でんき
伝記,でんき
電気器具,でんききぐ
電気製品,でんきせいひん
電気分解,でんきぶんかい
電球,でんきゅう
電極,でんきょく
電気炉,でんきろ
電撃,でんげき
電源,でんげん
電源開発,でんげんかいはつ
電光,でんこう
電工,でんこう
伝言,でんごん
電算機,でんさんき
電子,でんし
電子計算機,でんしけいさんき
電子顕微鏡,でんしけんびきょう
電子工学,でんしこうがく
電子部品,でんしぶひん
電車,でんしゃ
伝承,でんしょう
電信,でんしん
電磁,でんじ
電磁気,でんじき
電磁石,でんじしゃく
電磁波,でんじは
伝授,でんじゅ
伝説,でんせつ
伝染,でんせん
電線,でんせん
伝染病,でんせんびょう
伝送,でんそう
電送,でんそう
電算,でんそろ
